TIMESTAMP,GLOBAL_Avg,DIRECT_Avg
2022-12-31 22:27:00,-2.00472,-0.168313
2022-12-31 22:28:00,-2.00586,-0.168313
2022-12-31 22:29:00,-1.98302,-0.17278
2022-12-31 22:30:00,-2.0184,-0.17278
2022-12-31 22:31:00,-2.04694,-0.154906
2022-12-31 22:32:00,-2.05151,-0.147459
2022-12-31 22:33:00,-2.03439,-0.141501
2022-12-31 22:34:00,-1.97501,-0.165332
2022-12-31 22:35:00,-1.89167,-0.163842
2022-12-31 22:36:00,-1.90423,-0.178737
2022-12-31 22:37:00,-1.87456,-0.178738
2022-12-31 22:38:00,-1.87798,-0.178738
2022-12-31 22:39:00,-1.91222,-0.187674
2022-12-31 22:40:00,-1.9168,-0.178738
2022-12-31 22:41:00,-1.94306,-0.178739
2022-12-31 22:42:00,-1.95905,-0.17427
2022-12-31 22:43:00,-1.96589,-0.162354
2022-12-31 22:44:00,-1.9499,-0.151927
2022-12-31 22:45:00,-1.92135,-0.154905
2022-12-31 22:46:00,-1.93962,-0.169801
2022-12-31 22:47:00,-1.94534,-0.177249
2022-12-31 22:48:00,-1.89853,-0.166822
2022-12-31 22:49:00,-1.85286,-0.187675
2022-12-31 22:50:00,-1.82661,-0.187675
2022-12-31 22:51:00,-1.80835,-0.186186
2022-12-31 22:52:00,-1.80492,-0.178738
2022-12-31 22:53:00,-1.8209,-0.180228
2022-12-31 22:54:00,-1.8152,-0.177249
2022-12-31 22:55:00,-1.81634,-0.178738
2022-12-31 22:56:00,-1.79693,-0.157885
2022-12-31 22:57:00,-1.81862,-0.157886
2022-12-31 22:58:00,-1.85287,-0.166822
2022-12-31 22:59:00,-1.86885,-0.169801
2022-12-31 23:00:00,-1.89168,-0.171291
2022-12-31 23:01:00,-1.94077,-0.169801
2022-12-31 23:02:00,-1.97274,-0.141501
2022-12-31 23:03:00,-1.96932,-0.102775
2022-12-31 23:04:00,-2.03554,-0.102775
2022-12-31 23:05:00,-2.10745,-0.0566005
2022-12-31 23:06:00,-2.13372,-0.0670272
2022-12-31 23:07:00,-2.07778,-0.0804325
2022-12-31 23:08:00,-1.98645,-0.126607
2022-12-31 23:09:00,-1.93964,-0.142991
2022-12-31 23:10:00,-1.94421,-0.168312
2022-12-31 23:11:00,-1.90424,-0.177248
2022-12-31 23:12:00,-1.84372,-0.178737
2022-12-31 23:13:00,-1.76838,-0.178738
2022-12-31 23:14:00,-1.74441,-0.178738
2022-12-31 23:15:00,-1.75925,-0.183206
2022-12-31 23:16:00,-1.76609,-0.184695
2022-12-31 23:17:00,-1.78779,-0.186185
2022-12-31 23:18:00,-1.82089,-0.186185
2022-12-31 23:19:00,-1.87112,-0.178737
2022-12-31 23:20:00,-1.92365,-0.17278
2022-12-31 23:21:00,-1.88825,-0.137032
2022-12-31 23:22:00,-1.89853,-0.14448
2022-12-31 23:23:00,-1.92022,-0.157885
