TIMESTAMP,GLOBAL_Avg,DIRECT_Avg,DIFFUSE_Avg,GH_CALC_Avg,percent
2022-12-31 19:55:00,-1.98651,-0.226409,-2.90199,-2.90199,-0.027901949126797852
2022-12-31 19:56:00,-2.11893,-0.238325,-3.19338,-3.19338,-0.03074877324130385
2022-12-31 19:57:00,-2.13035,-0.196618,-3.26656,-3.26656,-0.0316811135473039
2022-12-31 19:58:00,-2.0493,-0.0968197,-3.00312,-3.00312,-0.029543068067513542
2022-12-31 19:59:00,-1.90545,-0.196619,-2.63189,-2.63189,-0.025320835309491287
2022-12-31 20:00:00,-1.82553,-0.293438,-2.40569,-2.40569,-0.022557276078953983
2022-12-31 20:01:00,-1.91229,-0.321739,-2.53342,-2.53342,-0.023678951082227683
2022-12-31 20:02:00,-2.04016,-0.236835,-2.87404,-2.87404,-0.02751384895971122
2022-12-31 20:03:00,-2.08011,-0.111714,-2.89399,-2.89399,-0.028357509849886723
2022-12-31 20:04:00,-2.02188,-0.0714969,-2.72234,-2.72234,-0.02684823504709728
2022-12-31 20:05:00,-2.05156,-0.0997978,-2.70504,-2.70504,-0.0265233407382069
2022-12-31 20:06:00,-2.07439,-0.142994,-2.83411,-2.83411,-0.027581041648754776
2022-12-31 20:07:00,-2.15888,-0.0983083,-3.22529,-3.22529,-0.03172703628965323
2022-12-31 20:08:00,-2.0938,-0.0476646,-3.03635,-3.03635,-0.030106921369151753
2022-12-31 20:09:00,-1.96936,-0.0670284,-2.69573,-2.69573,-0.026594221321210438
2022-12-31 20:10:00,-1.96479,-0.24726,-2.71169,-2.71169,-0.025769248464966667
2022-12-31 20:11:00,-2.05499,-0.201085,-3.00043,-3.00043,-0.02890155911582987
2022-12-31 20:12:00,-2.13719,-0.142994,-3.21731,-3.21731,-0.031384154610699946
2022-12-31 20:13:00,-2.16573,-0.065539,-3.32509,-3.32509,-0.03288711777588693
2022-12-31 20:14:00,-2.17145,-0.0446859,-3.42623,-3.42623,-0.03401278182229606
2022-12-31 20:15:00,-2.22396,-0.0446859,-3.46082,-3.46082,-0.0343571957236066
2022-12-31 20:16:00,-2.23196,-0.0491546,-3.50075,-3.50075,-0.034729771493531125
2022-12-31 20:17:00,-2.24339,-0.0714979,-3.53935,-3.53935,-0.034987164748172976
2022-12-31 20:18:00,-2.2468,-0.0714974,-3.58191,-3.58191,-0.03541041957298207
2022-12-31 20:19:00,-2.22396,-0.0521335,-3.53933,-3.53933,-0.03509359663981276
2022-12-31 20:20:00,-2.24109,-0.105757,-3.51671,-3.51671,-0.03455565880226894
2022-12-31 20:21:00,-2.38951,-0.0774555,-3.80943,-3.80943,-0.03764395251229345
2022-12-31 20:22:00,-2.45229,-0.0431963,-3.82007,-3.82007,-0.03794813612204448
2022-12-31 20:23:00,-2.31415,-0.0327695,-3.72028,-3.72028,-0.03701013481767571
2022-12-31 20:24:00,-2.33127,-0.09384,-3.68967,-3.68967,-0.03634194711529216
2022-12-31 20:25:00,-2.32101,-0.108736,-3.60453,-3.60453,-0.035398971251395385
2022-12-31 20:26:00,-2.31872,-0.138526,-3.71363,-3.71363,-0.03630843378890069
2022-12-31 20:27:00,-2.35868,-0.114694,-3.82274,-3.82274,-0.03753828988325563
2022-12-31 20:28:00,-2.34041,-0.0640497,-3.82673,-3.82673,-0.03788042125343361
2022-12-31 20:29:00,-2.24108,-0.0804342,-3.65507,-3.65507,-0.03606228478688194
2022-12-31 20:30:00,-2.2662,-0.153421,-3.72559,-3.72559,-0.03631940615167249
2022-12-31 20:31:00,-2.36095,-0.128099,-3.88392,-3.88392,-0.03805320685218257
2022-12-31 20:32:00,-2.38607,-0.080434,-3.92118,-3.92118,-0.038715725390692006
2022-12-31 20:33:00,-2.30044,-0.0446856,-3.83336,-3.83336,-0.038056592939380705
2022-12-31 20:34:00,-2.21254,-0.0536229,-3.60851,-3.60851,-0.03575101134515905
2022-12-31 20:35:00,-2.16231,-0.0997981,-3.43553,-3.43553,-0.033730395784870776
2022-12-31 20:36:00,-2.07668,-0.12512,-3.25457,-3.25457,-0.03175832826914066
2022-12-31 20:37:00,-2.00476,-0.12363,-3.05099,-3.05099,-0.029728054068106427
2022-12-31 20:38:00,-1.95109,-0.142994,-2.90595,-2.90595,-0.02815075537147541
2022-12-31 20:39:00,-1.97963,-0.174273,-2.9951,-2.9951,-0.02883808101395249
2022-12-31 20:40:00,-2.06526,-0.0804339,-3.15876,-3.15876,-0.031071463214873602
2022-12-31 20:41:00,-2.10635,-0.0402168,-3.19201,-3.19201,-0.03166079109680963
2022-12-31 20:42:00,-2.1406,-0.0238323,-3.24391,-3.24391,-0.03228470465151912
2022-12-31 20:43:00,-2.13033,-0.0342588,-3.22661,-3.22661,-0.0320431117060857
2022-12-31 20:44:00,-2.18171,-0.0610703,-3.43153,-3.43153,-0.03391593949229875
2022-12-31 20:45:00,-2.16688,-0.0163848,-3.42489,-3.42489,-0.034141257200109416
2022-12-31 20:46:00,-2.14404,-0.03128,-3.30913,-3.30913,-0.03288485968127524
2022-12-31 20:47:00,-2.12234,-0.0551122,-3.17473,-3.17473,-0.03138191384189357
2022-12-31 20:48:00,-2.09379,-0.093839,-3.09221,-3.09221,-0.03029714555814008
2022-12-31 20:49:00,-2.07553,-0.0997975,-3.07759,-3.07759,-0.030108279726473248
2022-12-31 20:50:00,-2.11777,-0.0938395,-3.16807,-3.16807,-0.03105014239543442
2022-12-31 20:51:00,-2.05954,-0.0491539,-3.04831,-3.04831,-0.030151350105977474
2022-12-31 20:52:00,-2.02187,-0.0655386,-2.91526,-2.91526,-0.02870832862073788
2022-12-31 20:53:00,-1.96593,-0.102777,-2.7689,-2.7689,-0.02698927039666721
2022-12-31 20:54:00,-1.9922,-0.134057,-2.81681,-2.81681,-0.027251457618538463
2022-12-31 20:55:00,-2.06297,-0.168315,-2.91127,-2.91127,-0.02795689049648348
2022-12-31 20:56:00,-2.02872,-0.052133,-2.92857,-2.92857,-0.02892618723250449
2022-12-31 20:57:00,-1.90314,-0.0685178,-2.68774,-2.68774,-0.026402908478904318
2022-12-31 20:58:00,-1.9294,-0.12512,-2.66778,-2.66778,-0.0258077170989406
2022-12-31 20:59:00,-1.97049,-0.137035,-2.72632,-2.72632,-0.02630631492164097
2022-12-31 21:00:00,-1.9488,-0.0878813,-2.77023,-2.77023,-0.02708612400126814
2022-12-31 21:01:00,-1.93738,-0.0625594,-2.68906,-2.68906,-0.026450180366819138
2022-12-31 21:02:00,-1.90314,-0.0759654,-2.60524,-2.60524,-0.02551544041945798
2022-12-31 21:03:00,-1.96707,-0.144483,-2.66512,-2.66512,-0.02562583100627308
2022-12-31 21:04:00,-1.96136,-0.0759652,-2.72765,-2.72765,-0.026735245047044942
2022-12-31 21:05:00,-1.92826,-0.0580912,-2.67577,-2.67577,-0.02634216507798716
2022-12-31 21:06:00,-1.90314,-0.0714968,-2.60524,-2.60524,-0.025538971361198644
2022-12-31 21:07:00,-1.89629,-0.0789444,-2.57331,-2.57331,-0.02516398825605978
2022-12-31 21:08:00,-1.91798,-0.117672,-2.54137,-2.54137,-0.024562119221098657
2022-12-31 21:09:00,-1.93853,-0.108735,-2.57863,-2.57863,-0.024996402479866103
2022-12-31 21:10:00,-1.90543,-0.0849027,-2.58795,-2.58795,-0.02526039325432087
2022-12-31 21:11:00,-1.91342,-0.0506436,-2.6119,-2.6119,-0.02574832091207163
2022-12-31 21:12:00,-1.94652,-0.0908602,-2.61987,-2.61987,-0.025531181014614775
